RIL	Trait1	Trait2	Trait3	Trait4	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC31	PC33	PC34	PC35	PC38	PC40	PC41	PC42	PC43	PC44
R001	25.7359984145431	10.9426321847886	90.1277571897893	25.1496326661897	3.63156159308241	-3.3664963664863	-0.177953336597004	-1.22720271980411	5.12114902515586	-3.96169933486846	-0.135255556292434	-1.6448583452983	-2.05512391749807	-1.22469326032063	-1.22973441268991	-0.556137351840525	-4.29051577034793	1.70638422303781	0.514456297260991	0.100983280472096	0.868298790317078	0.0353660000552607	-1.13369361476212	0.201775706728155	-1.85561424478999	1.97782886288704	-1.93192017884049	1.90107865530652	0.474319679304702	0.673728744823255	-0.875010670027892	-0.307658243749967	1.40153567355705	0.929048441213926	-0.406877754762978	-1.12350677733238	0.979207146084203	-0.132189723756268	-0.837064938517913	0.915105091291741	1.42061237424002	-0.0977586532510774
R018	27.9936626584071	10.8206151786434	105.465072696192	24.6235202976193	0.111227501016752	-3.4468851670253	0.910731824083011	-0.947384740045485	3.99734973481399	1.5534751687741	3.38835151709972	-4.19955786079427	-0.539641809997553	1.53476595481373	1.46081438413638	0.325847854236619	1.18792546857489	0.828810532347126	-1.54944934477111	-2.88151890700017	3.25062788876422	-2.5969243005456	3.08190356777827	-0.0187817221062968	-2.22377624969372	4.94430642802048	-1.27197565477627	2.19614108220577	0.955369763939954	1.42294852064319	1.35741917490441	-2.87981775610947	-0.817391935078513	0.514195081128252	0.525124009663086	0.0823174876939269	0.194119736461338	-1.20681467417641	-1.17709272576109	-0.524420603306304	0.626667899789816	-1.22964242228993
R046	26.1164534291109	10.9127449263569	93.0698001890802	25.3832096959685	2.91963216882985	0.314387293720926	0.230377077118822	-3.63544074686547	0.395483187809598	1.10052761242694	2.63642315420535	4.70029751828446	-2.32308065491688	-0.267971226895359	4.67044861189078	-0.231960316997891	1.54443120017869	1.06006038790022	-1.07168337942868	-2.80103473754917	1.47227197026572	1.19976177365334	-1.54332795225456	-2.02743939499512	0.448021965333774	0.163854014072526	1.78146689530589	1.70618370686446	-0.109976461279418	-1.31521560380725	-1.6066593173353	-0.293110758584084	-2.17972315461107	1.15355029411057	-0.171490494305605	0.395297196655539	-0.334727290022942	-0.919437103029347	0.574171455234794	-1.75002784884747	-0.0214699982634753	0.964688325077795
R216	25.2100833390609	10.4089060293479	98.9907334872942	24.9735265194655	1.02555961520225	-1.43923950887827	1.05207013861602	3.45403050202907	-2.89484112513798	4.18937393145307	1.02171769826066	-1.17856295792912	-1.26122732393367	-0.869850217288975	-4.24298622687859	-3.19114667006295	0.0823052181787424	0.059455550603449	-0.156200818556358	2.38057079747895	0.621878732215302	-0.179286047538475	-3.06588238113283	-0.914651671133844	-2.4845054670133	-3.58256519660643	0.453786639116333	0.722878733686729	2.59608144596734	-1.10648738045547	-1.50743476438191	2.0200980382115	1.01452467633491	0.535870694288309	0.972978012427488	0.0872679582935518	0.922002953377968	-0.879408874773215	-0.62232457336608	0.399174861021999	-0.568472592099614	0.411500331664172
R166	25.1066883061016	9.21485571396854	107.318904653393	24.6586017280604	-0.486835223179291	-5.16696110541716	-6.02077154521292	0.222373841099034	-5.99357669999166	5.08650528133049	-2.28820516794608	-5.9664736475316	0.251869068368279	3.60631120957486	5.77586635976228	-1.25523247531535	-3.70199442683532	-0.152070263266876	5.25273213991375	-0.361947940258621	-0.302727967310915	-0.907623879796387	-1.07892173230136	1.21837995885977	-0.706434028447065	-0.849394445747412	-2.25364871070939	1.0896725588774	-0.835207795117243	0.194540796732344	-1.88358642405556	0.650819325478846	-1.26110070354142	-0.874961683868284	0.279526484310644	-0.400000097474464	-1.82202236991697	1.19089732588299	0.329815799331713	0.77650410430412	0.841184491726718	-0.222709757353785
R065	26.0114374301427	9.22417082644015	100.088923818091	26.5826937015231	-0.0189708658284733	-4.85326090811296	1.60697989871664	7.71095511277492	0.687799861250922	-0.422222153979758	-1.40724348287861	-7.51518598259622	-0.54020793629791	-0.554413317292333	6.19692025021631	0.996649523527384	-2.80071408698794	-1.46842199066519	-0.509833426192533	4.16898711982878	-1.62456080300931	1.15375517537042	4.20704561151829	0.0481757437525168	-0.240265016302112	-3.94313633829515	0.0859967560843213	-0.000226467316991309	2.19265875292475	-0.397357092779555	-0.995554344327317	0.415300081764668	-1.21808074735032	-0.175934708149837	0.698438215344952	0.439505371166844	-0.811888356366531	-1.69922310258864	0.134070181407562	1.10924327311758	-0.460492333136538	-0.894811117741007
R115	28.9191973560288	9.71306236101252	131.293719798057	26.1847231530672	-12.454273059102	-6.9769630756304	2.87624789079415	1.37025746399595	-2.79161568355316	5.90070981596992	1.09579785641785	3.95812907222745	-0.63103886746988	1.8615772816196	-2.87830680417305	0.390148647095951	1.02893812015179	-0.156090693675992	0.605344006110144	-1.26190690694397	-0.642960871166837	1.09083140568637	3.66574446328779	-0.458908890863036	0.561883165817597	0.440874970829327	1.11313417607156	-0.840204746233142	0.0479522481114192	-0.957010781687914	0.821401316135759	-0.847226875525669	-2.22563635074126	-0.715922438764737	0.017161463156172	-0.409198780222459	2.32340909787682	-0.804653155036346	-0.362560472362777	-0.269586731807513	1.13107638821706	1.80520150093769
R226	25.8145875778117	11.9091872509399	90.3089493643816	24.4843552519658	-6.29316431244921	-3.26185984098821	0.747862306341519	0.952722673211602	-0.410379905928626	1.1430733207735	1.08239623156053	2.16806371464934	-0.232927664707689	0.056692889960283	0.291699988862438	-0.426280118851812	-0.298971161047453	-1.13462429848659	2.41380054536132	-4.23052589710195	-1.96461952991922	2.81236235281979	-2.42635171655524	0.253724449481417	1.05911641967624	2.95464096952957	-0.464507056404364	0.616599937559822	1.35486677515544	0.721853707585953	1.96325704814529	-1.24708755212759	-0.0508101704794091	0.00105889087170144	1.280253538772	1.32608312799037	-0.159356003463691	-1.60908865299756	0.438980791382952	0.616413090921525	-0.637047031868136	-0.596565675278934
R152	29.021848886573	10.3849352063235	121.23173218566	24.4769402969153	0.900600127369673	-9.42748356522282	2.81663032154477	0.83794397266273	4.03451344272162	3.20594614630909	3.3277543740001	-2.36794712543085	-2.02345569729251	-1.90291749169117	2.41879804427005	0.188503232316484	2.52267064930816	-0.406706989660847	-2.56193641543119	-1.44815056440322	0.311216366395528	-1.66956611651692	5.05386905318087	0.133422046128733	-1.36456694730916	3.89917769792771	-0.367288941850265	0.924708836190842	0.442647689821414	1.57369720383603	1.47254456819068	-1.66858586858872	-0.537062795521156	1.19526334088669	0.606181571217949	-0.52480237562812	-0.133542641987044	0.136384956578494	-0.883174324112255	0.718425821556207	-0.427630680773763	-0.546854916660933
R031	26.7159854249401	11.6328152912911	91.5692051200783	27.4569504646933	-2.2510747929932	-3.67543232403211	-6.42651933719944	-3.06099507814965	4.1012362090849	3.02992563482622	-1.94699615411075	0.593920469254169	-1.05962564264467	2.75159973113206	-0.844818059113731	1.60961675012504	1.47309579020825	0.325474382331	2.91572810204255	-0.192928277954927	-0.448300932695816	-0.0727891206331674	-1.19768591511091	-1.27503308602788	-1.15005615854294	5.22071188541267	-0.275055780210537	1.02288161499645	-0.80055307735457	-3.88272547894755	0.227662072234001	-0.906865374588109	-1.80055076041202	1.0133112291943	0.595271177031983	0.598154390942802	-2.29791136750764	0.585766481854264	0.640914037770434	1.39804810863784	1.06045676938419	-0.165557468296079
