trait	weight
Trait1	-0.609069520543944
Trait2	0.868621955502965
Trait3	0.310302006986985
Trait4	1.83530131776031
PC1	0.252875229205862
PC2	1.00368241095519
PC3	0.54933539313166
PC4	0.858914025330547
PC5	0.636857658760518
PC6	0.818863468873434
PC7	0.936529770649786
PC8	0.657723236373543
PC9	0.806060060936948
PC10	0.468938004005567
PC11	1.07339730888123
PC12	0.794590207050736
PC13	0.370543360707959
PC14	0.201755719090474
PC15	0.500613906616701
PC16	0.672548652856264
PC17	0.631174819346477
PC18	-0.12008022772723
PC19	0.689042393895311
PC20	0.290343045935135
PC21	0.559572893812657
PC22	0.535482881837074
PC23	0.679044417101721
PC24	-0.0614333103837533
PC25	0.433026486120677
PC26	0.227216853182094
PC27	0.16660289388155
PC28	0.531234153866208
PC31	0.327950889054866
PC33	0.105135006748522
PC34	0.0670311786175214
PC35	0.296661938036242
PC38	0.468973017815782
PC40	0.249568341778321
PC41	0.243545493560878
PC42	0.257534206671352
PC43	0.150090754473596
PC44	0.263897296957283
