"line" "CW" "DTA" "DTS" "DTT" "ED" "EH" "EL" "ELL" "ELW" "ERN" "EW" "KNPE" "KNPR" "KWPE" "LBT" "PH" "TBN" "TL"
"354" "MG_239_X_MG_1542" 40.61 66.66 68.07 65.25 4.96 129.29 20.56 96.75 10.67 17.55 258.73 703.38 40.27 225.94 4.94 313.94 11.8 44.71
"355" "MG_239_X_MG_1543" 41.71 65.18 66.6 63.78 5.1 130.42 20.67 99.45 10.59 16.83 279.89 689.69 40.76 233.39 4.12 320.36 11.36 43.78
"356" "MG_239_X_MG_1544" 42.13 65.74 67.7 64.52 4.98 126.53 20.75 99.2 10.74 16.14 266.4 657.12 40.39 219.59 4.42 314.05 11.91 44.5
"357" "MG_239_X_MG_1545" 36.85 64.26 65.87 62.87 4.92 127.5 20.45 95.17 10.06 15.87 248.49 646.53 40.35 214.53 4.14 307.24 10.15 44.37
"358" "MG_239_X_MG_1546" 47.08 65.18 66.97 63.78 5.09 119.5 22.09 96.28 10.27 15.93 277.05 647.05 40.27 229.77 6.69 305.82 11.58 44.68
"359" "MG_239_X_MG_1547" 39.39 65.18 67.52 63.78 4.99 122.63 21.15 92.8 9.92 15.99 269.35 651.44 40.4 231.5 4.74 305.73 11.98 42.62
"360" "MG_239_X_MG_1548" 39.21 65.37 67.7 63.6 4.94 102.72 21.53 95.51 10.98 15.09 263.38 633.09 41.06 220.86 4.2 260.04 13.33 39.15
"361" "MG_240_X_MG_1530" 37.04 60.76 63.12 59.38 4.51 85.09 18.95 88.75 9.69 15.21 212.99 566.16 37.56 178.33 3.99 265.68 13.52 39.98
"362" "MG_240_X_MG_1534" 43.4 67.03 69.35 65.8 4.86 118.77 19.42 96.24 9.91 14.82 217.94 566.67 38.35 194.07 5.26 273.6 15.03 36.78
"363" "MG_240_X_MG_1538" 55.14 74.02 76.26 72.41 4.72 138.18 20.71 103.52 10.15 15.03 229.25 570.81 38.2 182.54 3.97 312.82 13.56 42.39
"364" "MG_240_X_MG_1540" 47.43 67.95 69.17 65.44 4.74 145.04 20.96 99.24 9.8 14.3 235.44 581.92 39.9 191.13 6.1 294.46 13.67 38.4
"365" "MG_240_X_MG_1518" 41.28 66.47 69.53 65.44 4.62 125.5 21.13 97.56 10.31 12.98 240.86 569.77 41.84 196.73 4.38 293.32 10.7 43.1
"366" "MG_240_X_MG_1519" 45.5 66.66 68.07 65.25 5.13 119.12 20.56 94.19 9.59 16.89 261.15 697.18 40.97 227.56 5.55 290.79 12.97 40.33
"367" "MG_240_X_MG_1520" 41.82 66.66 69.35 64.7 4.97 133.12 18.98 97.08 9.7 16.83 237.35 647.3 38.96 195.74 5.55 298.43 13.08 37.13
"368" "MG_240_X_MG_1521" 47.17 67.03 68.25 65.99 4.99 115.81 19.7 95.85 9.98 14.79 249.31 575.98 38.73 208.55 4.03 280.59 8.13 37.2
"369" "MG_240_X_MG_1522" 50.88 66.84 67.88 64.88 5.04 105.48 20.96 98.5 9.71 14.06 257.09 589.42 40.73 214.63 3.98 258.28 11.8 38.29
"370" "MG_240_X_MG_1523" 47.14 65.92 67.7 63.97 4.91 104.71 19.18 94.41 10.27 13.82 244.8 565.12 39.9 202.35 3.98 262.41 15.9 38.6
"371" "MG_240_X_MG_1524" 45.21 68.68 69.71 67.82 4.92 141.68 20.12 96.43 10.46 15.75 238.68 616.03 39.15 202.25 4.9 300.27 13.23 35
"372" "MG_240_X_MG_1525" 49.49 69.05 73.19 67.64 4.81 124.39 22.09 103.51 9.53 14.55 249.88 595.1 40.11 203.12 4.1 291.59 14.66 40.02
"373" "MG_240_X_MG_1526" 49.61 67.21 68.98 65.62 5.16 118.87 20.23 98.66 10.64 14.79 266.96 582.18 39.11 212.97 3.95 276.71 16.97 38.85
"374" "MG_240_X_MG_1527" 42.04 65.37 66.97 64.33 5.23 129.27 18.18 96.84 9.36 15.72 234.87 593.29 38.12 187.7 4.9 288.81 10.7 36.38
"375" "MG_240_X_MG_1528" 39.2 66.29 67.33 64.33 4.82 107.5 19.08 95.77 10.11 16.35 235.31 643.43 39.48 196.74 4.36 275.22 10.88 38.83
"376" "MG_240_X_MG_1529" 37.52 62.61 63.31 61.58 4.8 119.76 19.3 92.07 9.56 14.67 227.66 555.56 37.94 190.94 4.59 280.67 9.38 37.18
"377" "MG_240_X_MG_1531" 38.7 68.5 69.71 67.27 4.88 121.76 18.87 87.93 9.62 13.58 220.9 544.45 39.22 188.27 5.02 262.54 16.94 36.32
"378" "MG_240_X_MG_1532" 43.84 69.24 71.18 68.37 4.97 134.9 19.75 94.17 9.88 13.7 229.99 601.82 42.12 208.07 5.23 281.16 16.01 34.76
"379" "MG_240_X_MG_1533" 55.26 67.21 68.62 65.99 4.86 121.43 21.49 98.42 10.33 15.63 275.72 667.46 41.68 221.51 5.34 276.02 13.38 37.92
"380" "MG_240_X_MG_1535" 38.49 66.66 66.97 65.07 4.74 112.37 20.41 93.63 10.48 15.51 245.38 601.04 38.81 201.55 5.53 264.3 11.32 35.72
"381" "MG_240_X_MG_1536" 37.42 65.92 67.15 64.52 4.84 108.73 19.41 96.85 9.26 17.04 240.66 657.12 39.05 200.37 4.03 277 14.44 39.18
"382" "MG_240_X_MG_1539" 52.84 71.26 73.12 69.84 5.24 141.49 19.18 99.92 10.67 15.63 230.14 590.45 38.13 192.88 4.13 285.7 16.17 37.46
"383" "MG_240_X_MG_1541" 46.64 71.81 72.9 70.75 4.69 161.79 19.97 102.08 9.55 13.7 237.37 555.82 39.63 186.28 4.55 330.68 13.56 40.91
"384" "MG_240_X_MG_1542" 40.48 67.95 68.98 66.9 4.78 124.7 19.96 99.42 10 16.83 253.08 652.73 39.14 207.94 4.75 309.31 11.76 44.98
"385" "MG_240_X_MG_1543" 43.47 66.66 68.25 65.62 4.97 119.02 19.84 100.7 9.95 16.47 261.73 668.24 40.39 222.21 4.46 293.01 12.79 42.53
"386" "MG_240_X_MG_1544" 37.62 65.92 67.33 64.7 4.95 116.43 18.66 96.24 9.9 16.71 234.18 628.44 38.34 200.83 4.89 290.12 11.81 41.73
"387" "MG_240_X_MG_1545" 44.12 64.08 65.32 62.87 4.88 110.36 20.93 93.83 9.45 14.79 248.5 617.33 40.8 216.9 4.74 290.47 8.2 40.61
"388" "MG_240_X_MG_1546" 44.55 67.76 69.17 66.54 4.93 110.31 19.29 95.5 9.54 15.87 264.39 621.98 39.18 215.39 4.92 279.22 11.43 40.7
"389" "MG_240_X_MG_1547" 39.48 66.11 67.52 64.52 4.84 115.07 20.55 91.29 9.3 15.03 238.01 613.97 40.27 200.01 5.21 291.7 11.54 38.85
"390" "MG_240_X_MG_1548" 43.48 64.45 65.32 63.42 4.99 94.96 19.83 97.24 10.58 14.55 257.59 584.76 39.6 212.17 4.1 245.72 13.64 37.7
"391" "MG_255_X_MG_1530" 39.39 62.24 65.87 60.85 4.87 105.45 19.43 88.52 9.32 15.75 228.42 596.65 38.24 191.42 5.3 265.87 16.9 40.67
"392" "MG_255_X_MG_1534" 48.87 67.76 69.35 66.72 5.43 129.65 21.45 95.81 11.53 19.15 284.46 856.12 43.66 238.26 5.31 300.94 10.74 36.15
"393" "MG_255_X_MG_1538" 62.13 72.73 75.57 71.49 5.09 147.33 20.52 102 10.97 15.99 256.45 656.09 40.62 211.12 6.15 320.34 17.01 43.25
"394" "MG_255_X_MG_1540" 45.64 68.87 70.63 66.54 4.99 135.46 19.2 95.49 9.99 16.47 225.66 628.18 38.66 189.76 5.55 292.69 13.16 40.12
"395" "MG_255_X_MG_1518" 39.47 65.92 71.18 65.07 5.03 128.5 19.2 96 10.91 15.39 245.39 618.1 39.86 203.28 5.55 292.17 12.57 40.85
"396" "MG_255_X_MG_1519" 49.55 67.95 68.98 66.9 5.42 131.58 20.12 94.51 10.53 18.52 275.08 753 40.86 235.65 5.61 299.34 12.61 39.63
"397" "MG_255_X_MG_1520" 48.58 66.66 69.17 64.52 5.26 142.17 19.4 95.09 10.27 18.16 268.71 748.35 41.25 222.38 5.69 301.96 15.21 39.42
"398" "MG_255_X_MG_1521" 50.33 67.58 69.17 66.72 5.22 124.79 20.52 92.78 10.79 17.64 289.71 680.38 39.15 231.88 5.52 285.3 10.66 42.67
"399" "MG_255_X_MG_1522" 42.17 67.21 67.88 65.07 5.46 110.34 17.74 93.07 9.76 15.93 259.28 601.56 38.2 214.48 4.75 256.36 13.07 37.01
"400" "MG_255_X_MG_1523" 46.46 68.5 70.45 67.09 5.32 107.73 19.46 90.37 11.28 16.35 265.01 650.66 39.71 216.65 4.68 261.81 17.16 37.89
"401" "MG_255_X_MG_1524" 43.7 68.5 69.35 67.45 5.23 137.73 18.63 89.28 11.57 17.92 250.74 643.43 37.33 202.9 5.87 288.21 13.38 33.53
"402" "MG_255_X_MG_1525" 54.53 69.05 73.19 67.64 5.26 135.63 21.83 100.29 10.31 16.47 287.54 686.33 41.18 224.26 6.17 300.69 14.81 40.25
"403" "MG_255_X_MG_1526" 49.5 68.87 70.26 67.09 5.59 119.12 18.94 94.1 11.06 16.83 272.41 629.73 38.2 221.23 4.74 265.86 17.19 37.14
"404" "MG_255_X_MG_1527" 43.18 66.47 68.25 65.07 5.17 135.83 19.21 96.89 10.05 18.04 267.7 689.94 38.99 220.61 6.47 296 12.28 37.12
"405" "MG_255_X_MG_1528" 40.78 67.39 69.35 66.35 5.3 113.34 19.19 92.64 10.67 19 244.08 745.77 39.97 218.57 5.57 272.57 8.83 37.39
"406" "MG_255_X_MG_1529" 39.86 64.45 65.32 63.6 5.06 125.42 20.14 88.96 10.63 16.91 249.24 678.32 40.16 209.21 4.93 279.95 10.04 36.59
"407" "MG_255_X_MG_1531" 38.7 69.6 71 68.74 5.08 129.6 17.8 90.1 10.64 16.44 234.64 603.63 37.39 193.63 5.74 270.8 18.48 36.88
"408" "MG_255_X_MG_1532" 46.24 69.42 71.36 68.37 5.08 140.58 19.98 97.32 10.34 14.18 240.34 636.45 42.86 206.97 4.98 289.23 18.48 38.31
"409" "MG_255_X_MG_1533" 56.85 67.58 68.43 66.35 5.65 120.11 19.89 90.54 10.93 18.76 293.12 752.48 40.46 238.23 6.03 266.3 12.23 37.64
"410" "MG_255_X_MG_1535" 43.31 67.76 68.07 65.99 5.19 115.7 19.5 97.37 10.87 16.71 265.56 657.64 39.56 223.06 5.24 263.52 12.9 35.42
"411" "MG_255_X_MG_1536" 33.35 66.47 66.79 64.7 5.06 113.89 18.36 90.53 10.04 18.8 249.15 697.7 38.38 213.96 4.7 269.05 14.92 39.25
"412" "MG_255_X_MG_1539" 50.47 71.08 74.11 69.84 5.53 149.02 18.33 99.99 10.36 18.52 255.43 671.08 37.71 204.85 5.02 298.12 16.13 37.98
"413" "MG_255_X_MG_1541" 52.42 72.37 73.57 70.39 5.12 167.39 19.88 100.32 10.36 15.39 262.5 604.66 39.18 207.65 5.83 317.98 15.76 44.5
"414" "MG_255_X_MG_1542" 47.25 68.31 68.98 66.72 5.27 129.63 20.12 98.14 10.89 19.48 283.94 760.24 39.86 230.05 5.18 310.79 10.7 42.12
"415" "MG_255_X_MG_1543" 49.3 67.58 69.53 66.54 5.46 128.9 19.08 97.65 10.84 19.48 277.94 761.01 39.9 233.39 6 300.05 12.75 40.2
"416" "MG_255_X_MG_1544" 49.94 66.66 68.25 65.44 5.33 122.74 20.04 98.26 11.13 18.52 288.39 769.02 41.44 235.71 5.26 302.23 14.04 41.54
"417" "MG_255_X_MG_1545" 50.17 65.74 66.97 64.52 5.34 122.6 20.73 97.65 10.3 18.01 278.82 728.19 40.6 234.23 6.06 299.31 9.45 42.89
"418" "MG_255_X_MG_1546" 51.89 69.24 69.53 67.64 5.4 125.04 21.73 93.27 10.49 17.92 297.52 735.95 41.08 260.85 5.65 301.83 10.11 43.7
"419" "MG_255_X_MG_1547" 52.42 66.47 68.07 65.07 5.38 126.91 20.8 91.96 10.5 18.04 298.7 734.91 40.85 248.67 4.83 296.02 11.61 39.98
"420" "MG_255_X_MG_1548" 49.16 66.11 68.98 63.97 5.47 125.09 19.81 98.33 10.99 18.52 293.99 780.65 41.96 238.94 5.68 276.04 16.06 37.49
"421" "MG_257_X_MG_1530" 37.46 61.69 64.41 59.93 4.59 92.76 18.56 89.88 9.52 14.06 207.12 525.07 37.34 177.07 3.95 267.74 13.96 39.9
"422" "MG_257_X_MG_1534" 46.65 67.03 68.25 65.8 5.06 116.7 21.08 96.78 10.34 15.51 272.02 671.08 42.08 233.76 4.8 290.14 12.28 37.63
"423" "MG_257_X_MG_1538" 46.65 74.94 76.93 72.77 4.65 144.86 20.25 104.12 10.18 14.43 237.06 528.43 36.97 178.25 4.56 321.29 16.35 43.21
"424" "MG_257_X_MG_1540" 47.8 67.95 69.17 66.54 4.75 132.64 20.51 97.31 9.55 13.67 235.24 558.4 39.79 191.57 4.68 295.7 13.71 39.29
"425" "MG_257_X_MG_1518" 37.88 67.95 70.26 66.35 4.57 123.57 20.15 98.39 10.16 13.06 225.01 576.75 42.06 191.68 4.45 294.84 12.53 40.36
"426" "MG_257_X_MG_1519" 41.06 67.03 67.33 64.88 4.92 117.5 21 91.97 9.86 14.79 276.78 641.36 41.97 227.11 4.11 288.99 13.93 39.6
"427" "MG_257_X_MG_1520" 43.03 67.76 70.08 65.25 4.93 138.96 19.72 94.63 9.88 15.39 254.93 642.65 41.06 205.7 4.92 307.55 18 37.35
"428" "MG_257_X_MG_1521" 48.26 67.58 67.88 66.54 4.91 127.78 20.51 96.94 10.18 14.79 264.46 568.22 38.39 212.83 4.68 303.6 8.97 38.62
"429" "MG_257_X_MG_1522" 51.73 67.95 68.43 65.99 4.98 112.88 20.31 98.31 9.77 13.34 263.71 544.45 39.63 209.19 4.79 266.92 11.73 36.18
"430" "MG_257_X_MG_1523" 39.83 67.03 68.98 64.88 4.81 101.76 18.58 91.58 10.61 13.58 230.33 514.73 37.6 188.81 3.98 262.52 16.32 37.59
"431" "MG_257_X_MG_1524" 39.41 69.24 71 68.37 4.7 147.61 19.38 93.32 10.07 13.7 214.46 520.67 37.75 180.92 6.04 311.13 14.55 33.93
"432" "MG_257_X_MG_1525" 48.57 70.71 73.56 69.47 4.8 130.96 22.68 103.17 9.75 14.12 258.88 604.4 41.29 210.34 4.67 307.88 15.91 40.49
"433" "MG_257_X_MG_1526" 41.31 68.31 69.71 66.72 5 119.09 18.63 99.19 9.91 14.06 243.07 531.79 37.68 196.93 4.51 276.86 15.69 36.23
"434" "MG_257_X_MG_1527" 38.24 67.95 69.17 66.72 4.85 141.62 18.06 97.09 9.55 15.18 225.08 563.83 37.37 184.43 6.27 306.39 11.76 34.53
"435" "MG_257_X_MG_1528" 40.11 67.95 69.17 66.72 5 108.19 19.43 93.34 10.15 17.04 240.54 662.03 39.3 208.04 5.31 272.44 9.43 38.02
"436" "MG_257_X_MG_1529" 35.66 64.82 66.24 63.78 4.78 118.1 18.94 89.35 9.49 13.34 215.9 525.84 38.62 189.18 3.95 282.04 10.63 35.69
"437" "MG_257_X_MG_1531" 40.69 69.42 70.81 68.37 4.94 124.25 19.73 90.09 9.48 14.55 229.72 586.83 39.71 208.12 4 282.05 16.99 33.95
"438" "MG_257_X_MG_1532" 44.73 69.42 71.73 68.37 4.87 130.49 19.42 94.65 10.16 12.14 240.83 527.91 41.06 193.07 4.06 288.03 17.77 34.9
"439" "MG_257_X_MG_1533" 46.81 69.42 71 68 4.88 126.21 20.78 96.16 10.55 13.82 247.4 569 40.09 204.9 5.87 284.77 12.42 35.81
"440" "MG_257_X_MG_1535" 32.96 68.13 68.62 66.54 4.93 118.5 18.93 94.79 10.22 13.82 224.12 526.62 37.35 191.39 4.24 267.56 12.68 35.11
"441" "MG_257_X_MG_1536" 32.91 66.47 67.52 64.88 4.77 114.91 18.46 91.22 9.14 17.55 225.84 657.12 38.35 188.69 4.4 275.23 13.38 38.02
"442" "MG_257_X_MG_1539" 46.14 72.37 75.75 70.39 4.9 143.51 18.78 102.85 9.63 14.79 220.1 554.27 37.71 183.45 4.72 290.32 18.94 37.43
"443" "MG_257_X_MG_1541" 28.13 73.1 75.21 72.04 4.62 160.88 17.89 101.34 9.66 13.34 207.42 498.45 37.11 175.74 4.13 332.81 15.18 39.97
"444" "MG_257_X_MG_1542" 39.38 68.5 69.17 67.09 4.92 130.88 19.8 96.84 10.36 16.59 252.43 651.18 39.45 217.96 4.09 311.68 13.7 40.81
"445" "MG_257_X_MG_1543" 37.74 66.29 68.45 65.14 4.93 121.17 18.96 96.23 9.94 16.05 246.46 637.42 39.66 206.81 4.4 289.14 13.37 39.29
"446" "MG_257_X_MG_1544" 38.32 66.11 66.97 64.88 5.01 119.59 19.26 97.32 10.08 16.23 250.46 641.1 39.56 213.65 4.63 303.6 13.63 41.62
"447" "MG_257_X_MG_1545" 39.5 65.74 66.24 64.7 4.69 122.41 20.6 94.67 9.62 14.18 262.22 592.77 40.69 216.83 4.07 309.19 9.34 39.03
"448" "MG_257_X_MG_1546" 48.61 68.68 69.9 67.45 5 114.15 21.91 93.92 10.08 15.15 287.18 627.66 40.74 227.74 5.21 288.4 12.57 42.44
"449" "MG_257_X_MG_1547" 41.55 66.66 68.07 65.07 4.89 118.29 20.97 92 9.46 15.3 257.74 634.38 40.74 224.91 4.03 300.06 12.46 38.55
"450" "MG_257_X_MG_1548" 42.27 65 66.79 63.78 4.94 102.83 19.2 97.52 10.22 14.43 256.59 574.17 39.26 208.6 4.03 254.87 13.08 36.29
"451" "MG_258_X_MG_1530" 35.77 62.61 65.69 61.22 4.58 96.18 20.9 86.65 10.3 14.79 218.94 598.2 39.86 194.81 4.04 263.05 19.48 39.67
"452" "MG_258_X_MG_1534" 39.56 67.76 68.43 66.72 4.97 116.06 20.67 92.65 10.97 15.99 249.8 670.05 41.25 227.77 5.62 276.97 14.55 36.2
"453" "MG_258_X_MG_1538" 53.68 75.16 79.45 73.83 4.7 153.51 23.09 104.18 11.26 14.55 246.66 570.81 38.54 189.96 4.61 335.57 20.78 42.96
"454" "MG_258_X_MG_1540" 46.2 69.24 70.08 67.45 4.69 133.97 22.09 94.2 10.45 13.88 231.09 562.28 39.64 197.36 5.37 290.67 17.71 36.83
"455" "MG_258_X_MG_1518" 37.48 67.03 70.26 65.62 4.67 124.86 21.99 92.18 11.19 12.98 233.06 574.17 42.16 207.93 4.58 278.63 15.84 40.45
"456" "MG_258_X_MG_1519" 37.6 67.58 68.8 66.54 4.96 119.39 19.93 89.26 10.55 16.23 243.5 632.06 39.11 211.19 5.64 273.49 16.79 37.36
"457" "MG_258_X_MG_1520" 38.17 66.29 68.43 64.33 4.96 135.11 19.92 89.61 10.47 16.23 245.7 676.51 41.1 211 5.66 289.75 19.07 34.85
"458" "MG_258_X_MG_1521" 37.92 68.5 69.35 67.27 4.7 118.87 20.23 94.53 10.89 14.91 236.2 577.79 38.79 201.55 4.06 280.62 12.69 36.56
"459" "MG_258_X_MG_1522" 42.91 67.76 68.8 65.99 4.96 106.88 20.64 93.29 10.06 14.91 251.76 600.01 39.75 217.47 4.85 244.16 17.65 36.09
"460" "MG_258_X_MG_1523" 36.78 66.47 69.17 64.7 4.78 104.12 19.96 84.56 11.04 13.94 231.89 565.64 39.67 197.01 4.38 247.52 25.5 35.64
"461" "MG_258_X_MG_1524" 38.54 69.97 70.08 69.1 4.7 143.65 20.16 88.05 11.74 14.06 234.98 559.7 39.18 197.03 5.24 291.86 17.41 33.85
"462" "MG_258_X_MG_1525" 46.83 72.92 76.12 71.3 4.82 130.38 22.23 99 10.84 13.91 245.5 571.07 40.03 206.37 4.71 286.76 17.85 40.1
"463" "MG_258_X_MG_1526" 38.46 67.95 69.35 66.17 5.08 115.48 19.85 86.91 11.57 14.43 254.07 584.76 39.82 214.91 3.97 258.82 25.82 37.15
"464" "MG_258_X_MG_1527" 38.63 67.39 68.98 65.8 4.84 124.29 19.42 94.93 10.44 16.14 248.85 651.7 40.18 210.73 4.17 283.61 16.57 36.04
"465" "MG_258_X_MG_1528" 40.69 66.47 67.7 64.7 5.11 108.9 19.43 92.36 10.73 17.19 256.94 661.26 39.07 218.17 4.82 261.12 16.07 37.91
"466" "MG_258_X_MG_1529" 36.9 63.16 63.31 61.4 4.7 118.8 20 86.2 10.32 13.7 242.17 548.32 39.18 199.46 3.98 265.18 12.79 36.13
"467" "MG_258_X_MG_1531" 36.82 69.29 70.5 68.21 4.92 142.61 18.59 86.1 10.89 15.27 226.94 571.07 37.75 193.89 4.67 289.83 21.95 34.36
"468" "MG_258_X_MG_1532" 37.59 69.42 70.63 68.37 4.93 131.26 19.39 94.85 10.7 13.46 223.53 590.97 42.01 198.19 4.68 279.7 21.63 34.45
"469" "MG_258_X_MG_1533" 44.01 67.21 68.62 65.8 5.06 119.83 21.78 90.87 11.4 14.91 269.9 618.62 40.73 232.91 5.02 265.61 15.07 36.7
"470" "MG_258_X_MG_1535" 32.33 67.58 67.88 65.8 4.59 121.09 19.3 88.74 10.56 14.55 234.57 577.27 39.22 194.13 4.69 258.46 14.04 35.52
"471" "MG_258_X_MG_1536" 26.12 65.74 66.24 64.52 4.88 111.9 18.8 89.98 9.66 18.16 229.33 664.62 37.9 209.33 3.98 258.06 17.01 36.19
"472" "MG_258_X_MG_1539" 41.24 73.84 76.48 72.04 4.92 144.03 18.45 101.11 10.69 15.54 223.47 570.29 37.38 175.31 5.26 287.86 20.86 36.52
"473" "MG_258_X_MG_1541" 40.77 74.21 77.22 72.41 4.66 160.97 19.75 96.8 9.98 14.18 206.92 532.82 37.56 177.65 4.96 326.29 18.66 38.48
"474" "MG_258_X_MG_1542" 39.75 67.76 68.8 66.72 4.97 119.68 20.67 90.82 10.97 16.83 272.74 674.44 40.12 227.64 4.51 289.01 15.25 39.96
"475" "MG_258_X_MG_1543" 36.3 68.32 70.69 67.62 4.91 116.96 18.75 92.2 10.55 16.22 243.44 622.78 38.83 205.22 5.41 271.06 14.44 39.15
"476" "MG_258_X_MG_1544" 43.13 66.66 67.7 65.44 5.12 115.23 21.19 95.27 10.56 16.95 269.09 714.24 41.63 237.25 4.42 283.66 15.07 40.95
"477" "MG_258_X_MG_1545" 41.62 66.47 66.79 65.44 4.99 122.78 21.37 89.49 10.24 15.87 255.37 666.43 41.29 225.79 4.86 291.81 12.13 40.23
"478" "MG_258_X_MG_1546" 40.69 67.03 67.88 65.62 5.01 103.42 20.57 88.78 10.56 16.32 248.33 643.69 39.47 217.55 5.94 261.18 16.31 39.26
"479" "MG_258_X_MG_1547" 39.8 65.74 67.15 64.33 4.9 115.26 21.19 85.85 10.6 15.39 266.66 655.83 41.63 230.53 3.98 279.54 13.82 36.68
"480" "MG_258_X_MG_1548" 37.76 66.47 68.07 65.07 4.93 96.48 19.64 94.68 11.12 15.27 254.21 582.18 38.3 205.34 4.84 234.73 20.09 36.32
"481" "MG_260_X_MG_1530" 35.24 60.03 62.39 58.65 4.48 87.96 18.54 84.52 9.68 14.18 204.9 523.52 37 169.18 4.01 241.86 13.92 38.79
"482" "MG_260_X_MG_1534" 48.25 67.76 69.53 66.72 5.1 123.54 21.13 90.26 10.48 15.51 274.58 642.39 40.8 229.66 5.89 291.87 11.73 36.56
"483" "MG_260_X_MG_1538" 52.42 74.02 76.71 72.22 4.66 146.84 22.36 99.54 9.69 13.94 247.89 574.43 40.2 191.16 5.33 331.21 16.9 43.67
"484" "MG_260_X_MG_1540" 47.7 67.76 68.98 66.54 4.74 138.43 21.17 94.08 9.75 14.06 244.08 592 40.84 192.59 5.97 291.91 13.63 38.38
"485" "MG_260_X_MG_1518" 39.91 67.95 71.36 66.54 4.54 126.14 20.39 92.94 10.13 12.74 230 519.64 39.63 172.09 5.52 286.22 11.84 40.79
"486" "MG_260_X_MG_1519" 44.99 68.13 68.62 67.27 5.11 118.44 20.81 90.95 9.85 15.75 276.27 664.62 41.55 225.11 6.04 291.11 13.41 39.63
"487" "MG_260_X_MG_1520" 42.53 67.58 71 65.8 5 144.14 19.18 91.86 9.81 15.87 250.15 621.98 39.26 195.96 5.12 311.33 16.17 37.31
"488" "MG_260_X_MG_1521" 49.9 68.5 69.71 67.45 5.07 125.93 19.85 95.56 10.44 15.03 253.09 536.95 36.51 192.34 4.5 299.01 9.82 38.02
"489" "MG_260_X_MG_1522" 50.3 66.84 67.7 65.62 5.01 109.1 20.76 93.91 9.98 13.58 266.17 569 40.58 215.45 4.43 259.49 12.35 37.8
"490" "MG_260_X_MG_1523" 53.8 66.47 68.62 64.52 5.29 108.36 19.4 90.77 10.98 16.23 264.6 662.55 40.58 214.22 5.21 268.18 18.29 40.95
"491" "MG_260_X_MG_1524" 45.47 70.89 71.73 69.47 4.85 144.01 20.47 88.36 10.45 14.34 235.7 565.12 38.96 192.69 5.62 294.5 12.68 34.8
"492" "MG_260_X_MG_1525" 51.6 69.42 73.19 68.55 4.89 134.37 22.88 98.98 10 14.18 259.45 600.01 41.06 209.67 4.69 291.3 13.6 40.89
"493" "MG_260_X_MG_1526" 49.33 67.39 69.17 66.17 5.14 121.59 21.27 95.79 10.76 14.43 266.3 585.54 39.86 216.8 3.95 277.44 16.86 36.84
"494" "MG_260_X_MG_1527" 37.2 68.13 69.71 66.9 4.77 137.57 16.52 95.29 9.43 14.79 225.91 506.72 35.72 173.49 5.15 305.74 11.8 35.05
"495" "MG_260_X_MG_1528" 38.04 68.5 69.9 66.9 4.96 115.76 19.41 94.67 10.76 16.71 230.81 661.78 39.71 192.56 5.22 287.18 8.86 37.32
"496" "MG_260_X_MG_1529" 37.58 63.9 64.22 62.13 4.7 118.69 19.61 88.26 9.67 14.06 220.96 542.12 38.13 188.45 4.05 276.22 9.34 36.69
"497" "MG_260_X_MG_1531" 38.96 69.97 72.46 68.92 4.96 124.88 19.18 86.86 10.08 14.89 227.53 588.12 39.17 202.78 5.16 267.77 15.52 35.48
"498" "MG_260_X_MG_1532" 42.81 69.24 70.81 68.19 4.88 141.57 19.21 93.49 10.52 13.46 232.18 578.3 41.33 189.62 4.6 290.56 15.65 36.29
"499" "MG_260_X_MG_1533" 44.43 68.68 69.71 67.64 4.91 123.75 20.35 93.36 10.69 15.15 251.49 610.87 39.86 196.73 6.4 273.62 10.51 36.27
"500" "MG_260_X_MG_1535" 39.09 68.31 69.17 66.54 4.81 117.21 20.58 96.46 10.54 14.3 256.94 564.86 39.15 206.82 4.78 276.35 12.68 36.76
"501" "MG_260_X_MG_1536" 33.7 66.29 67.15 64.88 4.81 113.89 18.91 88.19 9.45 17.19 232.24 668.24 39.3 198.87 3.99 264.18 13.67 37.49
"502" "MG_260_X_MG_1539" 51.03 72 74.47 70.57 4.95 149.6 20.27 97.62 9.93 14.27 239.36 573.39 39.5 188.77 4.48 296.56 16.86 37.66
"503" "MG_260_X_MG_1541" 43.39 73.1 74.47 71.85 4.72 162.69 19.58 97.55 9.71 12.74 237.42 500.26 38.28 187.62 4.12 327.59 15.4 40.43
"504" "MG_260_X_MG_1542" 40.67 68.87 69.53 67.09 5.04 134.67 20.58 95.87 10.59 17.67 260.53 709.84 40.35 221.22 5.22 309.98 13.34 40.86
"505" "MG_260_X_MG_1543" 44.51 67.21 68.43 66.35 5.11 129.38 19.44 93.28 10.17 16.91 264.76 667.2 39.67 217.33 4.78 298.63 12.57 40.68
"506" "MG_260_X_MG_1544" 40.94 67.39 68.62 65.99 4.9 120.39 19.86 93.18 9.96 15.87 255.98 626.63 39.52 201.45 6.08 298.06 12.72 42.03
"507" "MG_260_X_MG_1545" 46.99 67.58 69.17 66.54 4.92 122.89 21.24 94.11 9.89 15.15 263.76 621.46 40.39 214.15 5.57 298.22 9.3 42.05
"508" "MG_260_X_MG_1546" 46.24 69.6 70.81 68.19 4.9 119.72 21.46 90.08 9.7 15.51 256.17 631.02 40.2 208.92 5.59 291.92 10.48 41.04
